schema_key	dimension	band	source	basin08_col_s	basin08_col_u	friendly_name	type	units	s_u	status	atlas_id	api_key_s	api_key_u	high_r_partner	concordance_notes	typology_cluster	scale_sensitivity	I_L6	I_L8	scale_dir	historical_validity	informative_or_degenerate	distribution_notes	position_method	position_notes	notes	zero_fraction_s_L6	zero_fraction_u_L6	zero_fraction_s_L8	zero_fraction_u_L8
dist_sink_km	coastality	E	BasinATLAS v1.0	dist_sink		Flow distance to marine outlet	float	km	s	implemented		dist_sink			No global co-variation |r| ≥ 0.90 with other signature variables.	continental-gradient		deferred-phase4	deferred-phase4	deferred-phase4	full-record	informative	Skewness 1.52; zero-fraction 0.33.	percentile	13.7% zero basins included in CDF as-is	In Band E payload; raw basin08 units (m → divide by 1000 for km)	0.3335		0.1369	
outlet_type	coastality	E	BasinATLAS v1.0	endo		Outlet type	string		s	implemented		endorheic			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4	rarity_rank	3 classes (exorheic / endorheic / coastal); derived from endo flag	Derived from endo flag: exorheic/endorheic/coastal	0.8014		0.797	
coast_flag	coastality	E	BasinATLAS v1.0	coast		Basin touches coast	boolean		s	implemented		coast_flag			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4	rarity_rank	2 values (True / False); % of L8 basins touching coast		0.8723		0.9496	
topo_depth_from_coast	coastality	E	Derived			Topological depth from coast	integer	hops	derived	planned					No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	full-record		deferred-phase4			Computed via next_down DAG traversal				
lmr_pdsi	temporal_climate	T	LMR v2.1			PDSI (LMR v2.1)	float		series	implemented		pdsi_series			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	Annual series {year, pdsi} + pdsi_mean/min/max; 2°×2° nearest cell				
lmr_temp_anomaly	temporal_climate	T	LMR v2.1			Temperature anomaly (LMR v2.1)	float	K	series	implemented		air_series			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	Annual series {year, air_anom_k} + air_mean_anom_k; anomaly vs. reference period				
lmr_precip_anomaly	temporal_climate	T	LMR v2.1			Precipitation rate anomaly (LMR v2.1)	float	mm/day	series	implemented		prate_series			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	Annual series {year, prate_anom_mm_day} + mean; converted from kg/m²/s				
lmr_slp	temporal_climate	T	LMR v2.1			Sea-level pressure (LMR v2.1)	float	hPa	point	planned					No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	Not currently stored in temporal.lmr_climate				
evolv2k_events	volcanic_forcing	T	eVolv2k v4			Volcanic events in period (eVolv2k v4)	list		event	implemented		volcanic_events			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	List of {year_ad, month, vssi_tg, vssi_1sig, asymmetry, location, tephra}; default vssi_min=5.0 Tg				
evolv2k_vssi_per_event	volcanic_forcing	T	eVolv2k v4			VSSI per event (eVolv2k v4)	float	Tg	event	implemented					No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	vssi_tg field within each volcanic_events object				
evolv2k_asymmetry	volcanic_forcing	T	eVolv2k v4			Hemispheric asymmetry per event	float	0–1	event	implemented					No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	asymmetry field within each volcanic_events object; 0=SH, 1=NH, intermediate=bilateral				
evolv2k_event_count	volcanic_forcing	T	eVolv2k v4			Volcanic event count in period	integer		derived	implemented		volcanic_event_count			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	Count of events ≥ vssi_min (default 5 Tg) in the query window				
evolv2k_vssi_sum	volcanic_forcing	T	eVolv2k v4			Total VSSI in period	float	Tg	derived	implemented		volcanic_vssi_sum_tg			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	Sum of vssi_tg for all events ≥ vssi_min in the query window				
evolv2k_years_since_major	volcanic_forcing	T	eVolv2k v4			Years since last major eruption	integer	years	derived	implemented		years_since_last_major			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	Years between year_end and the most recent event ≥ 10 Tg; null if none in window				
hyde_cropland	land_use_temporal	T	HYDE 3.4			Cropland extent (HYDE 3.4)	float series	km²/pct	s	implemented		hyde_land_use[].cropland_km2			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	Per-epoch list of {year_ce, cropland_km2, cropland_pct, basin_area_km2, n_cells}; resolution: millennial BCE, centennial 0–1700, decadal 1710–1950, annual 1951–2025; _note discloses temporal resolution				
hyde_grazing	land_use_temporal	T	HYDE 3.4			Grazing land extent (HYDE 3.4)	float series	km²/pct	s	implemented		hyde_land_use[].grazing_km2			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	Per-epoch list; grazing = pasture + rangeland; same resolution structure as hyde_cropland				
hyde_pasture	land_use_temporal	T	HYDE 3.4			Pasture extent (HYDE 3.4)	float series	km²/pct	s	implemented		hyde_land_use[].pasture_km2			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	Per-epoch list; managed pasture subset of grazing land				
hyde_rangeland	land_use_temporal	T	HYDE 3.4			Rangeland extent (HYDE 3.4)	float series	km²/pct	s	implemented		hyde_land_use[].rangeland_km2			No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4	deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up	Per-epoch list; unmanaged/extensive grazing subset				
narrative	narrative	output	Derived			LLM narrative summary	string		output	planned					No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4			deferred-phase4			Claude API; non-specialist natural language summary				
outlet_type	coastality	E	BasinATLAS v1.0			Outlet type	string		s	implemented		outlet_type									full-record			class_mixture	4-class composite: exorheic non-coastal (0), exorheic coastal (1), endorheic inland (10), terminal sink (20); derived from endo×10 + coast_flag; areal engine only	Derived from endorheic (0/1/2) and coast_flag (0/1); exclusivity verified (coast=1 never co-occurs with endo>0). Areal-engine output only — not emitted by point signature.				
coast_fraction	coastality	E	BasinATLAS v1.0			Coastal fraction	fraction	fraction (0-1)	s	implemented		coast_fraction									full-record			flag_fraction	Area-weighted fraction of buffer basins touching a coast; sum of weights where coast_flag = 1; areal engine only	Derived from coast_flag (0/1) via area-weighted weight sum. Convenience scalar complement to outlet_type. Areal-engine output only — not emitted by point signature.				
