schema_key	dimension	band	basin08_col_s	basin08_col_u	friendly_name	type	units	s_u	status	atlas_id	notes	api_key_s	api_key_u	position_method	position_notes	high_r_partner	concordance_notes	typology_cluster	scale_sensitivity	I_L6	I_L8	scale_dir	historical_validity	informative_or_degenerate	distribution_notes
evolv2k_vssi_per_event	volcanic_forcing	T			VSSI per event (eVolv2k v4)	float	Tg	event	implemented		vssi_tg field within each volcanic_events object			deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
evolv2k_asymmetry	volcanic_forcing	T			Hemispheric asymmetry per event	float	0–1	event	implemented		asymmetry field within each volcanic_events object; 0=SH, 1=NH, intermediate=bilateral			deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
evolv2k_event_count	volcanic_forcing	T			Volcanic event count in period	integer		derived	implemented		Count of events ≥ vssi_min (default 5 Tg) in the query window	volcanic_event_count		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
evolv2k_vssi_sum	volcanic_forcing	T			Total VSSI in period	float	Tg	derived	implemented		Sum of vssi_tg for all events ≥ vssi_min in the query window	volcanic_vssi_sum_tg		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
evolv2k_years_since_major	volcanic_forcing	T			Years since last major eruption	integer	years	derived	implemented		Years between year_end and the most recent event ≥ 10 Tg; null if none in window	years_since_last_major		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
hyde_cropland	land_use_temporal	T			Cropland extent (HYDE 3.4)	float series	km²/pct	s	implemented		Per-epoch list of {year_ce, cropland_km2, cropland_pct, basin_area_km2, n_cells}; resolution: millennial BCE, centennial 0–1700, decadal 1710–1950, annual 1951–2025; _note discloses temporal resolution	hyde_land_use[].cropland_km2		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
hyde_grazing	land_use_temporal	T			Grazing land extent (HYDE 3.4)	float series	km²/pct	s	implemented		Per-epoch list; grazing = pasture + rangeland; same resolution structure as hyde_cropland	hyde_land_use[].grazing_km2		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
hyde_pasture	land_use_temporal	T			Pasture extent (HYDE 3.4)	float series	km²/pct	s	implemented		Per-epoch list; managed pasture subset of grazing land	hyde_land_use[].pasture_km2		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
hyde_rangeland	land_use_temporal	T			Rangeland extent (HYDE 3.4)	float series	km²/pct	s	implemented		Per-epoch list; unmanaged/extensive grazing subset	hyde_land_use[].rangeland_km2		deferred	Position attribute depends on temporal query; see Phase 4 LMR/HYDE design memo follow-up		No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4	period-specific		deferred-phase4
narrative	narrative	output			LLM narrative summary	string		output	planned		Claude API; non-specialist natural language summary						No global co-variation |r| ≥ 0.90 with other signature variables.			deferred-phase4	deferred-phase4	deferred-phase4			deferred-phase4
